,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,19.0,19.0,19.0,500.0,25.0,29.0,23.0,23.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
1,19.0,19.0,19.0,500.0,20.0,22.0,20.0,26.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
2,19.0,19.0,19.0,500.0,20.0,28.0,22.0,23.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
3,19.0,19.0,19.0,500.0,19.0,20.0,25.0,25.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
4,19.0,19.0,19.0,500.0,22.0,29.0,23.0,27.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
5,19.0,19.0,19.0,500.0,18.0,31.0,30.0,31.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
6,19.0,19.0,19.0,500.0,18.0,24.0,20.0,24.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
7,19.0,19.0,19.0,500.0,27.0,23.0,19.0,26.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
8,19.0,500.0,19.0,500.0,19.0,28.0,21.0,27.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
9,19.0,19.0,19.0,500.0,17.0,25.0,21.0,19.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
10,19.0,19.0,19.0,500.0,16.0,26.0,21.0,26.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
11,19.0,19.0,19.0,500.0,27.0,28.0,25.0,23.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
12,19.0,19.0,19.0,500.0,25.0,21.0,18.0,20.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
13,19.0,19.0,19.0,500.0,17.0,32.0,26.0,26.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
14,19.0,19.0,19.0,500.0,23.0,17.0,22.0,20.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
15,19.0,19.0,19.0,500.0,16.0,25.0,23.0,24.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
16,19.0,19.0,19.0,500.0,22.0,24.0,14.0,27.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
17,19.0,19.0,19.0,500.0,24.0,31.0,20.0,22.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
18,19.0,19.0,19.0,500.0,20.0,22.0,21.0,29.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
19,19.0,19.0,19.0,500.0,19.0,23.0,17.0,24.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
20,19.0,19.0,19.0,500.0,22.0,25.0,14.0,26.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
21,19.0,19.0,19.0,500.0,23.0,24.0,22.0,33.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
22,19.0,19.0,19.0,500.0,23.0,28.0,27.0,25.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
23,19.0,19.0,19.0,500.0,20.0,27.0,23.0,24.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
24,19.0,19.0,19.0,500.0,23.0,28.0,29.0,27.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
25,19.0,19.0,19.0,500.0,18.0,24.0,23.0,21.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
26,19.0,19.0,19.0,500.0,18.0,21.0,24.0,23.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
27,19.0,19.0,19.0,500.0,24.0,27.0,18.0,34.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
28,19.0,19.0,19.0,500.0,23.0,24.0,28.0,23.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
29,19.0,19.0,19.0,500.0,22.0,25.0,19.0,24.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
30,19.0,19.0,19.0,500.0,18.0,24.0,25.0,26.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
31,19.0,19.0,19.0,500.0,20.0,28.0,27.0,24.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
32,19.0,19.0,19.0,500.0,19.0,24.0,19.0,27.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
33,19.0,19.0,19.0,500.0,22.0,24.0,30.0,22.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
34,19.0,19.0,19.0,500.0,18.0,24.0,17.0,23.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
35,19.0,19.0,19.0,500.0,20.0,26.0,17.0,21.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
36,19.0,19.0,19.0,500.0,14.0,23.0,23.0,26.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
37,19.0,19.0,19.0,500.0,20.0,23.0,19.0,28.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
38,19.0,19.0,19.0,500.0,20.0,16.0,23.0,31.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
39,19.0,19.0,19.0,500.0,26.0,27.0,19.0,25.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
40,19.0,19.0,19.0,500.0,23.0,30.0,19.0,26.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
41,19.0,19.0,500.0,500.0,22.0,15.0,23.0,29.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
42,19.0,19.0,19.0,500.0,20.0,24.0,20.0,26.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
43,19.0,19.0,500.0,500.0,25.0,25.0,20.0,21.0,71.0,42.0,71.0,42.0,1017.0,500.0,4.0
