,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,8.0,307.0,7.0,305.0,7.0,86.0,10.0,113.0,13.0,104.0,12.0,60.0,40.0,172.0,36.0,172.0,39.0,127.0,2560.0,720.0
1,8.0,346.0,7.0,345.0,7.0,7.0,9.0,95.0,14.0,98.0,17.0,12.0,40.0,173.0,36.0,173.0,39.0,29.0,2177.0,720.0
2,8.0,307.0,7.0,305.0,7.0,86.0,13.0,102.0,14.0,103.0,17.0,57.0,40.0,172.0,36.0,172.0,39.0,127.0,2560.0,720.0
3,8.0,307.0,7.0,86.0,7.0,305.0,11.0,99.0,13.0,61.0,15.0,112.0,40.0,172.0,36.0,93.0,39.0,226.0,2719.0,720.0
4,8.0,507.0,7.0,66.0,66.0,66.0,16.0,103.0,8.0,49.0,48.0,60.0,40.0,169.0,36.0,90.0,143.0,123.0,2696.0,720.0
5,8.0,234.0,7.0,232.0,7.0,232.0,9.0,106.0,9.0,115.0,13.0,113.0,40.0,172.0,36.0,172.0,39.0,226.0,2956.0,720.0
6,8.0,307.0,7.0,305.0,7.0,86.0,8.0,95.0,13.0,104.0,9.0,61.0,40.0,172.0,36.0,172.0,39.0,127.0,2560.0,720.0
7,8.0,307.0,7.0,305.0,7.0,86.0,14.0,107.0,13.0,103.0,9.0,67.0,40.0,172.0,36.0,172.0,39.0,127.0,2560.0,720.0
8,8.0,307.0,7.0,305.0,7.0,86.0,12.0,107.0,6.0,101.0,19.0,70.0,40.0,172.0,36.0,172.0,39.0,127.0,2560.0,720.0
9,8.0,307.0,7.0,305.0,7.0,86.0,10.0,100.0,10.0,110.0,15.0,60.0,40.0,172.0,36.0,172.0,39.0,127.0,2560.0,720.0
10,8.0,288.0,7.0,285.0,66.0,66.0,12.0,105.0,12.0,91.0,65.0,62.0,40.0,169.0,36.0,169.0,143.0,123.0,2933.0,720.0
11,8.0,215.0,7.0,212.0,66.0,212.0,9.0,110.0,16.0,103.0,49.0,103.0,40.0,169.0,36.0,169.0,143.0,222.0,3329.0,720.0
12,8.0,307.0,7.0,305.0,86.0,7.0,8.0,99.0,15.0,101.0,51.0,13.0,40.0,172.0,36.0,172.0,147.0,29.0,2600.0,720.0
13,8.0,307.0,7.0,305.0,7.0,86.0,12.0,100.0,13.0,111.0,17.0,64.0,40.0,172.0,36.0,172.0,39.0,127.0,2560.0,720.0
14,8.0,87.0,7.0,306.0,7.0,305.0,10.0,48.0,9.0,102.0,13.0,109.0,40.0,93.0,36.0,172.0,39.0,226.0,2482.0,720.0
15,8.0,234.0,7.0,232.0,7.0,232.0,12.0,93.0,17.0,101.0,15.0,118.0,40.0,172.0,36.0,172.0,39.0,226.0,2956.0,720.0
16,8.0,234.0,7.0,232.0,7.0,232.0,10.0,109.0,11.0,115.0,19.0,114.0,40.0,172.0,36.0,172.0,39.0,226.0,2956.0,720.0
17,8.0,215.0,7.0,212.0,66.0,212.0,16.0,105.0,9.0,100.0,57.0,124.0,40.0,169.0,36.0,169.0,143.0,222.0,3329.0,720.0
18,8.0,215.0,7.0,212.0,66.0,212.0,15.0,102.0,12.0,106.0,49.0,104.0,40.0,169.0,36.0,169.0,143.0,222.0,3329.0,720.0
19,8.0,7.0,7.0,565.0,7.0,126.0,8.0,8.0,9.0,111.0,12.0,59.0,40.0,15.0,36.0,173.0,39.0,128.0,1625.0,720.0
20,8.0,307.0,7.0,305.0,7.0,86.0,5.0,98.0,10.0,96.0,18.0,71.0,40.0,172.0,36.0,172.0,39.0,127.0,2560.0,720.0
21,8.0,288.0,7.0,285.0,66.0,66.0,17.0,98.0,13.0,104.0,64.0,61.0,40.0,169.0,36.0,169.0,143.0,123.0,2933.0,720.0
22,8.0,346.0,7.0,345.0,7.0,7.0,16.0,113.0,10.0,105.0,17.0,14.0,40.0,173.0,36.0,173.0,39.0,29.0,2177.0,720.0
23,8.0,215.0,7.0,212.0,66.0,212.0,10.0,96.0,14.0,106.0,54.0,123.0,40.0,169.0,36.0,169.0,143.0,222.0,3329.0,720.0
24,8.0,307.0,7.0,86.0,7.0,305.0,11.0,106.0,10.0,64.0,20.0,113.0,40.0,172.0,36.0,93.0,39.0,226.0,2719.0,720.0
25,8.0,684.0,7.0,7.0,7.0,7.0,6.0,101.0,11.0,9.0,20.0,11.0,40.0,173.0,36.0,15.0,39.0,29.0,1703.0,720.0
26,8.0,215.0,7.0,212.0,66.0,212.0,15.0,101.0,8.0,100.0,60.0,120.0,40.0,169.0,36.0,169.0,143.0,222.0,3329.0,720.0
27,8.0,288.0,66.0,285.0,7.0,66.0,16.0,102.0,45.0,104.0,16.0,53.0,40.0,169.0,149.0,169.0,39.0,123.0,2856.0,720.0
28,8.0,346.0,7.0,345.0,7.0,7.0,16.0,102.0,10.0,111.0,15.0,15.0,40.0,173.0,36.0,173.0,39.0,29.0,2177.0,720.0
29,8.0,307.0,7.0,305.0,7.0,86.0,8.0,105.0,12.0,98.0,18.0,62.0,40.0,172.0,36.0,172.0,39.0,127.0,2560.0,720.0
30,8.0,288.0,66.0,285.0,7.0,66.0,16.0,103.0,35.0,103.0,19.0,51.0,40.0,169.0,149.0,169.0,39.0,123.0,2856.0,720.0
31,8.0,346.0,7.0,345.0,7.0,7.0,11.0,111.0,8.0,92.0,17.0,16.0,40.0,173.0,36.0,173.0,39.0,29.0,2177.0,720.0
32,8.0,234.0,7.0,232.0,7.0,232.0,15.0,118.0,11.0,94.0,17.0,116.0,40.0,172.0,36.0,172.0,39.0,226.0,2956.0,720.0
33,8.0,346.0,7.0,345.0,7.0,7.0,7.0,98.0,12.0,108.0,15.0,14.0,40.0,173.0,36.0,173.0,39.0,29.0,2177.0,720.0
34,8.0,215.0,7.0,212.0,66.0,212.0,14.0,102.0,15.0,98.0,54.0,110.0,40.0,169.0,36.0,169.0,143.0,222.0,3329.0,720.0
35,58.0,201.0,7.0,200.0,54.0,200.0,40.0,92.0,16.0,89.0,57.0,97.0,150.0,165.0,36.0,165.0,139.0,218.0,3921.0,720.0
36,8.0,307.0,7.0,305.0,7.0,86.0,12.0,103.0,9.0,105.0,13.0,66.0,40.0,172.0,36.0,172.0,39.0,127.0,2560.0,720.0
37,8.0,7.0,7.0,465.0,7.0,226.0,14.0,6.0,13.0,95.0,11.0,60.0,40.0,15.0,36.0,173.0,39.0,128.0,1625.0,720.0
38,8.0,288.0,7.0,285.0,66.0,66.0,10.0,106.0,8.0,91.0,64.0,64.0,40.0,169.0,36.0,169.0,143.0,123.0,2933.0,720.0
39,8.0,273.0,7.0,272.0,7.0,153.0,17.0,104.0,8.0,105.0,14.0,67.0,40.0,173.0,36.0,173.0,39.0,128.0,2573.0,720.0
40,8.0,288.0,7.0,285.0,66.0,66.0,13.0,109.0,7.0,108.0,56.0,53.0,40.0,169.0,36.0,169.0,143.0,123.0,2933.0,720.0
41,8.0,273.0,7.0,272.0,7.0,153.0,11.0,100.0,10.0,109.0,18.0,55.0,40.0,173.0,36.0,173.0,39.0,128.0,2573.0,720.0
42,8.0,346.0,7.0,345.0,7.0,7.0,8.0,101.0,15.0,96.0,15.0,12.0,40.0,173.0,36.0,173.0,39.0,29.0,2177.0,720.0
43,8.0,215.0,7.0,212.0,66.0,212.0,17.0,99.0,10.0,104.0,65.0,110.0,40.0,169.0,36.0,169.0,143.0,222.0,3329.0,720.0
44,8.0,288.0,7.0,285.0,66.0,66.0,10.0,103.0,11.0,109.0,62.0,59.0,40.0,169.0,36.0,169.0,143.0,123.0,2933.0,720.0
45,8.0,68.0,7.0,505.0,66.0,66.0,12.0,44.0,10.0,106.0,58.0,62.0,40.0,90.0,36.0,169.0,143.0,123.0,2459.0,720.0
46,8.0,215.0,7.0,212.0,66.0,212.0,11.0,101.0,7.0,105.0,51.0,110.0,40.0,169.0,36.0,169.0,143.0,222.0,3329.0,720.0
47,8.0,346.0,7.0,345.0,7.0,7.0,12.0,102.0,14.0,95.0,12.0,10.0,40.0,173.0,36.0,173.0,39.0,29.0,2177.0,720.0
48,8.0,273.0,7.0,272.0,7.0,153.0,11.0,96.0,10.0,116.0,11.0,61.0,40.0,173.0,36.0,173.0,39.0,128.0,2573.0,720.0
49,8.0,7.0,7.0,465.0,7.0,226.0,14.0,12.0,10.0,107.0,11.0,68.0,40.0,15.0,36.0,173.0,39.0,128.0,1625.0,720.0
